region,Country,avg disposible income per year (in million USD)
CEE,Azerbaijan,16861.67142857143
AP,Bangladesh,101162.65714285712
AP,China,5311550.542857142
AP,India,1209014.8857142855
AP,Indonesia,436347.9857142857
AP,Japan,2246537.5142857144
CEE,Kazakhstan,43232.17142857142
AP,Malaysia,119336.81428571428
AP,Pakistan,75545.44285714286
AP,Philippines,178913.57142857142
AP,Singapore,158616.05714285714
AP,South Korea,646052.5857142856
AP,Sri Lanka,21751.285714285714
AP,Taiwan,326571.6857142857
AP,Thailand,209506.6285714286
AP,Vietnam,122439.91428571429
AP,Australia,715473.3428571428
AP,New Zealand,81680.1142857143
CEE,Belarus,15292.600000000002
CEE,Bulgaria,29206.11428571429
CEE,Croatia,29732.58571428571
CEE,Czech Republic,106932.12857142858
CEE,Estonia,11437.857142857143
CEE,Georgia,8207.157142857142
CEE,Hungary,52116.771428571425
CEE,Latvia,15177.885714285714
CEE,Lithuania,24678.12857142857
CEE,Poland,255911.3571428571
CEE,Romania,92860.17142857144
CEE,Russia,523003.7142857142
CEE,Serbia,27266.528571428575
CEE,Slovakia,48620.07142857143
CEE,Slovenia,25420.842857142856
CEE,Ukraine,37466.08571428571
LA,Argentina,11891.842857142856
LA,Bolivia,18564.357142857145
LA,Brazil,763445.5142857142
LA,Chile,113745.24285714285
LA,Colombia,126106.32857142857
LA,Costa Rica,32750.72857142857
LA,Dominican Republic,43648.65714285714
LA,Ecuador,64379.442857142865
LA,El Salvador,26017.557142857142
LA,Guatemala,49977.4
LA,Honduras,13552.857142857143
LA,Mexico,768655.3857142858
LA,Panama,28357.799999999996
LA,Paraguay,16312.899999999998
LA,Peru,105079.84285714284
LA,Uruguay,23204.071428571428
LA,Venezuela,0.0
MEA,Algeria,47687.62857142858
MEA,Bahrain,17388.071428571428
MEA,Cameroon,22507.85714285714
MEA,Egypt,63170.14285714286
MEA,Iraq,98349.1857142857
MEA,Israel,198491.15714285715
MEA,Jordan,30929.12857142857
MEA,Kenya,33171.857142857145
MEA,Kuwait,52470.78571428572
MEA,Lebanon,825.9285714285714
MEA,Morocco,68974.38571428572
MEA,Nigeria,106016.32857142857
MEA,Oman,29081.27142857143
MEA,Qatar,40615.6
MEA,Saudi Arabia,249104.11428571428
MEA,South Africa,142108.65714285715
MEA,Tunisia,19498.114285714284
NA,Canada,798340.1571428571
NA,USA,13237885.857142856
WE,Austria,212718.35714285713
WE,Belgium,254138.04285714283
WE,Denmark,136137.8
WE,Finland,126429.64285714286
WE,France,1433856.7571428572
WE,Germany,1944670.9857142859
WE,Greece,130784.69999999998
WE,Ireland,96862.87142857144
WE,Italy,1169620.6
WE,Netherlands,372543.67142857146
WE,Norway,118549.54285714286
WE,Portugal,133555.91428571427
WE,Spain,722942.0142857142
WE,Sweden,188948.6
WE,Switzerland,425865.6
MEA,Turkey,61419.357142857145
WE,United Kingdom,1454263.5714285711
